N,seed,final_xa,final_xb,final_xu,agreement_time,converged,correct_choice
20,0,0.2,0.24,0.56,,False,False
20,1,0.3,0.1,0.6,,False,True
20,2,0.14,0.34,0.52,,False,False
20,3,0.18,0.26,0.56,,False,False
20,4,0.36,0.3,0.34,,False,True
20,5,0.4,0.22,0.38,,False,True
20,6,0.12,0.26,0.62,,False,False
20,7,0.36,0.16,0.48,,False,True
20,8,0.22,0.16,0.62,,False,True
20,9,0.22,0.2,0.58,,False,True
50,0,0.2,0.18,0.62,,False,True
50,1,0.28,0.2,0.52,,False,True
50,2,0.2,0.16,0.64,,False,True
50,3,0.08,0.28,0.64,,False,False
50,4,0.32,0.18,0.5,,False,True
50,5,0.12,0.24,0.64,,False,False
50,6,0.18,0.2,0.62,,False,False
50,7,0.24,0.12,0.64,,False,True
50,8,0.16,0.14,0.7,,False,True
50,9,0.22,0.18,0.6,,False,True
100,0,0.16,0.14,0.7,,False,True
100,1,0.18,0.2,0.62,,False,False
100,2,0.38,0.18,0.44,,False,True
100,3,0.24,0.1,0.66,,False,True
100,4,0.22,0.22,0.56,,False,False
100,5,0.22,0.16,0.62,,False,True
100,6,0.26,0.16,0.58,,False,True
100,7,0.14,0.1,0.76,,False,True
100,8,0.12,0.12,0.76,,False,False
100,9,0.28,0.2,0.52,,False,True
200,0,0.12,0.2,0.68,,False,False
200,1,0.46,0.16,0.38,602.0,True,True
200,2,0.36,0.12,0.52,,False,True
200,3,0.16,0.18,0.66,,False,False
200,4,0.04,0.14,0.82,,False,False
200,5,0.3,0.28,0.42,,False,True
200,6,0.18,0.32,0.5,,False,False
200,7,0.14,0.16,0.7,,False,False
200,8,0.24,0.14,0.62,,False,True
200,9,0.3,0.18,0.52,,False,True
